FOOD and TOBACCO PRODUCTS,DISTILLATION PROCESSES,INORGANIC CHEMICALS,AGRICULTURAL CHEMICALS,CHEMICAL PROCESSES,PHOTOGRAPHIC CHEMISTRY,CLEANING AGENTS and OTHER COMPOSITIONS,DISINFECTING and PRESERVING,SYNTHETIC RESINS and FIBRES,BLEACHING and DYEING,OTHER ORGANIC COMPOUNDS,PHARMACEUTICALS AND BIOTECHNOLOGY,METALLURGICAL PROCESSES,MISCELLANEOUS METAL PRODUCTS,"FOOD, DRINK and TOBACCO EQUIPMENT",CHEMICAL and ALLIED EQUIPMENT,METAL WORKING EQUIPMENT,PAPER MAKING APPRATUS,BUILDING MATERIAL PROCESSING EQUIPMENT,ASSEMBLY and MATERIAL HANDLING EQUIPMENT,AGRICULTURAL EQUIPMENT,OTHER CONSTRUCTION and EXCAVATING EQUIPMENT,MINING EQUIPMENT,ELECTRICAL LAMP MANUFACTURING,TEXTILE AND CLOTHING MACHINERY,PRINTING AND PUBLISHING MACHINERY,WOODWORKING TOOLS and MACHINERY,OTHER SPECIALISED MACHINERY,OTHER GENERAL INDUSTRIAL EQUIPMENT,MECHANICAL CALCULATORS and TYPEWRITERS,POWER PLANTS,NUCLEAR REACTORS,TELECOMMUNICATIONS,OTHER ELECTRICAL COMMUNICATION SYSTEM,SPECIAL RADIO SYSTEMS,IMAGE and SOUND EQUIPMENT,ILLUMINATION DEVICES,ELECTRICAL DEVICES and SYSTEMS ,OTHER GENERAL ELECTRICAL EQUIPMENT,SEMICONDUCTORS,OFFICE EQUIPMENT and DATA PROCESSING SYSTEMS,INTERNAL COMBUSTION ENGINES,MOTOR VEHICLES,AIRCRAFT,SHIPS and MARINE PROPULSION,RAILWAYS and RAILWAY EQUIPMENT,OTHER TRANSPORT EQUIPMENT,"TEXTILES,CLOTHING and LEATHER",RUBBER AND PLASTIC PRODUCTS,NON-METALLIC MINERAL PRODUCTS,COAL AND PETROLEUM PRODUCTS,PHOTOGRAPHIC EQUIPMENT,OTHER INSTRUMENTS and CONTROLS,WOOD PRODUCTS,EXPLOSIVE COMPOSITIONS and CHARGES,OTHER MANUFACTURING and NON-INDUSTRIAL
127,201,423,71,23,430,106,422,260,8,260,424,29,3,99,34,59,53,65,186,56,37,166,445,12,101,142,15,48,235,60,376,178,340,342,84,313,174,62,257,235,123,180,244,114,104,191,2,152,52,44,354,33,5,149,6
131,203,,504,51,,252,,520,,530,435,75,4,127,51,72,162,241,187,111,171,175,,19,199,144,30,91,400,,976,179,341,343,181,314,200,136,307,360,,296,,440,105,280,36,264,65,208,355,73,217,,14
426,,,,55,,508,,521,,534,436,148,7,131,55,76,229,249,193,130,404,299,,26,270,145,79,92,,,,329,345,,348,315,307,204,326,364,,,,441,213,293,245,,125,585,396,74,297,,17
,,,,62,,510,,522,,536,514,164,10,,68,81,493,,198,172,,,,28,276,,98,110,,,,332,382,,358,362,308,219,357,365,,,,,238,295,289,,215,,399,128,,,40
,,,,95,,512,,523,,540,800,228,16,,96,82,,,212,278,,,,38,281,,100,122,,,,367,,,381,,323,236,,369,,,,,246,298,450,,241,,,177,,,42
,,,,117,,516,,524,,544,935,419,24,,118,83,,,224,460,,,,57,282,,116,126,,,,370,,,386,,327,290,,371,,,,,,301,,,428,,,187,,,43
,,,,134,,588,,525,,546,,420,27,,134,163,,,226,,,,,66,283,,133,137,,,,375,,,725,,328,310,,377,,,,,,305,,,442,,,235,,,47
,,,,156,,,,526,,548,,,30,,156,164,,,242,,,,,69,412,,140,165,,,,379,,,,,330,318,,700,,,,,,,,,501,,,250,,,54
,,,,204,,,,527,,549,,,49,,159,173,,,254,,,,,87,462,,141,184,,,,455,,,,,331,320,,701,,,,,,,,,,,,324,,,86
,,,,205,,,,528,,552,,,63,,196,225,,,258,,,,,112,,,147,185,,,,,,,,,333,322,,702,,,,,,,,,,,,346,,,89
,,,,210,,,,,,554,,,70,,202,228,,,271,,,,,139,,,157,188,,,,,,,,,334,361,,703,,,,,,,,,,,,347,,,102
,,,,216,,,,,,556,,,108,,209,234,,,294,,,,,223,,,169,192,,,,,,,,,335,373,,705,,,,,,,,,,,,349,,,114
,,,,260,,,,,,558,,,109,,210,266,,,402,,,,,,,,194,237,,,,,,,,,336,388,,706,,,,,,,,,,,,350,,,119
,,,,427,,,,,,560,,,124,,261,269,,,406,,,,,,,,221,239,,,,,,,,,337,392,,707,,,,,,,,,,,,351,,,168
,,,,432,,,,,,562,,,132,,366,308,,,410,,,,,,,,222,251,,,,,,,,,338,429,,708,,,,,,,,,,,,352,,,231
,,,,518,,,,,,564,,,135,,422,384,,,414,,,,,,,,227,303,,,,,,,,,339,437,,709,,,,,,,,,,,,353,,,244
,,,,,,,,,,568,,,138,,494,407,,,901,,,,,,,,254,415,,,,,,,,,361,438,,710,,,,,,,,,,,,356,,,273
,,,,,,,,,,570,,,150,,502,408,,,,,,,,,,,277,416,,,,,,,,,363,,,711,,,,,,,,,,,,359,,,380
,,,,,,,,,,930,,,160,,503,409,,,,,,,,,,,291,417,,,,,,,,,372,,,718,,,,,,,,,,,,368,,,404
,,,,,,,,,,987,,,182,,,413,,,,,,,,,,,300,418,,,,,,,,,439,,,719,,,,,,,,,,,,374,,,405
,,,,,,,,,,,,,190,,,474,,,,,,,,,,,401,431,,,,,,,,,505,,,902,,,,,,,,,,,,378,,,434
,,,,,,,,,,,,,206,,,,,,,,,,,,,,425,432,,,,,,,,,,,,,,,,,,,,,,,,385,,,446
,,,,,,,,,,,,,211,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,433,,,449
,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,,,452
,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,463
,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,
,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,
,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,,
,,,,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,
,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,,
,,,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
